NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,
"csb10032001fcc685a4","Storage account","cloud-shell-storage-westeurope","West Europe","Azure subscription 1"
"hr-dev-bastion-host-linuxvm-nic","Network Interface","hr-dev-rg-jjvagg","East US","Azure subscription 1"
"hr-dev-bastion-host-publicip","Public IP address","hr-dev-rg-jjvagg","East US","Azure subscription 1"
"hr-dev-bastion-linuxvm","Virtual machine","hr-dev-rg-jjvagg","East US","Azure subscription 1"
"hr-dev-bastion-linuxvm_OsDisk_1_ba1c6cdb29014d20a8ee1ac0e56bbc19","Disk","hr-dev-rg-jjvagg","East US","Azure subscription 1"
"hr-dev-bastion-service","Bastion","hr-dev-rg-jjvagg","East US","Azure subscription 1"
"hr-dev-bastion-service-publicip","Public IP address","hr-dev-rg-jjvagg","East US","Azure subscription 1"
"hr-dev-vnet","Virtual network","hr-dev-rg-jjvagg","East US","Azure subscription 1"
"hr-dev-vnet-appsubnet-nsg","Network security group","hr-dev-rg-jjvagg","East US","Azure subscription 1"
"hr-dev-vnet-bastionsubnet-nsg","Network security group","hr-dev-rg-jjvagg","East US","Azure subscription 1"
"hr-dev-vnet-dbsubnet-nsg","Network security group","hr-dev-rg-jjvagg","East US","Azure subscription 1"
"hr-dev-vnet-websubnet-nsg","Network security group","hr-dev-rg-jjvagg","East US","Azure subscription 1"
"hr-dev-web-linuxvm","Virtual machine","hr-dev-rg-jjvagg","East US","Azure subscription 1"
"hr-dev-web-linuxvm-nic","Network Interface","hr-dev-rg-jjvagg","East US","Azure subscription 1"
"hr-dev-web-linuxvm_OsDisk_1_1c3ece6049ef4e58808ee2a4fc8aa0a9","Disk","hr-dev-rg-jjvagg","East US","Azure subscription 1"
"NetworkWatcher_eastus","Network Watcher","networkwatcherrg","East US","Azure subscription 1"